location,lat,lon,count
0,Duke Lemur Center,35.996862,-78.970301,1898
1,Unknown Location,-40,0.0,46
2,Kenya,0.0,38.0,1
3,Tulane Regional Primate Res Center,31.196549,-86.4597236,1
4,Oregon Zoo,45.5098066,-122.7126898,1
5,Peoria Zoo in Glen Oak Park,41.87253,-88.0459,2
6,San Antonio Zoological Gardens & Aquar,29.463951110839844,-98.47207641601562,5
7,TOKYO JAPAN,35.6828387,139.7594549,1
8,Madagascar,-18.9249604,46.4416422,80
9,Woodland Park Zoo,47.6691434,-122.3509619,4
10,ZSL London Zoo,51.5348056,-0.1548066,1
11,Skansen Akvariet,59.3245386,18.1036722,10
12,Louisiana Purchase Gardens & Zoo,32.4684454,-92.0934052,4
13,Schönbrunner Tiergarten GmbH,52.51667,13.36667,1
14,N. VIETNAM,15.9266657,107.9650855,8
15,Thailand,14.8971921,100.83273,2
16,Minnesota Zoological Garden,44.76949691772461,-93.19757080078125,1
17,Cincinnati Zoo & Botanical Garden,39.1444446,-84.508061,9
18,Omaha's Henry Doorly Zoo,41.2254736,-95.9267318,2
19,Cleveland Metroparks Zoo,41.4473858,-81.7133425,5
20,Rare Feline Breeding Compound,35.3738712,-119.0194639,5
21,"Houston Zoo, Inc.",29.7133248,-95.3915846,5
22,Denver Zoological Garden,39.7492422,-104.9504003,1
23,San Diego Zoo,32.7359874,-117.1506542,6
24,Albuquerque BioPark Zoo,35.0967632,-106.6855457,1
25,Smithsonian National Zoological Park,38.93039,-77.05526,2
26,Milwaukee County Zoological Gardens,43.0349931,-87.922497,2
27,Memphis State University,35.1457312,-90.2229291,4
28,General Public,-50,0.0,8
29,Oregon Regional Primate Research Cntr,43.9792797,-120.737257,9
30,Vivarium Darmstadt,49.866122,8.6837886,1
31,Cologne Zoo,50.9535256,6.9118405,5
32,San Francisco Zoological Gardens,37.7790262,-122.419906,1
33,Lincoln Park Zoological Gardens,41.8755616,-87.6244212,3
34,Toronto Zoo,43.8196233,-79.1844977,2
35,Saint Louis Zoological Park,22.15609,-80.20457,9
36,Catoctin Wildlife Preserve and Zoo,39.5910364,-77.4321272,2
37,Philadelphia Zoo,39.971728,-75.1959915,8
38,Gladys Porter Zoo,25.9124615,-97.4957438,1
39,Comoros,-12.2045176,44.2832964,11
40,North Carolina Zoological Park,35.6299159,-79.75845,1
41,WESTVAOST,-42.4499469,171.2079875,2
42,BREC's  Baton Rouge Zoo,30.387296676635742,-91.08546447753906,3
43,Fort Worth Zoological Park,32.72172164916992,-97.35614013671875,2
45,North of Madagascar,-13.25,49.23333,2
46,Parc Zoologique Et Botanique Mulhouse,47.7317008972168,7.347938537597656,2
47,Detroit Zoological Society,42.4777531,-83.1592017,3
48,Zoo Atlanta,33.7325979,-84.3710376,1
49,Santa Fe CollegeTeaching Zoo,-30.3154739,-61.1645076,1
50,BLACKS IS,26.8357905,-82.0582927,1
51,Los Angeles Zoo & Botanical Gardens,34.1502799987793,-118.28282165527344,6
52,Soco Gardens,35.517046,-83.087628,1
53,Primarily Primates Inc,29.4263987,-98.5104781,1
54,Santa Ana Zoo,41.1076877,-85.1502081,2
55,Memphis Zoological Garden & Aquarium,35.1335022,-89.9668758,1
56,Greensboro Science Center,36.13014602661133,-79.83329772949219,1
57,Utah's Hogle Zoo,40.7494389,-111.8160867,2
58,St. Catherines Island WCS (extinct Nov 2005),30.1099202,-89.7717279,6
59,Univ of Tx Lab of Physical Anth,32.7284713,-97.1120213,3
60,Sacramento Zoo,38.5391872,-121.5043611,2
61,AlphaGenesis (Lab Animal Breeders Svc),32.672181,-80.840898,1
62,Birmingham Zoo,33.487053,-86.779526,1
63,Sedgwick County Zoo,37.7168086,-97.4093828,1
64,Oklahoma City Zoological Park,35.5207416,-97.4732029,1
65,ZooTampa at Lowry Park,28.0150105,-82.4699302,1
66,Potter Park Zoological Gardens,42.719285,-84.538113,1
67,Ellen Trout Zoo,31.3726885,-94.726155,2
68,Knoxville Zoological Gardens,36.001615,-83.884092,1
69,The Zoo at Chehaw,31.617196,-84.137957,1
70,Maryland Zoo in Baltimore,39.3244531,-76.6480853,3
71,Bronx Zoo Wildlife Conservation Society,40.853348,-73.881667,3
73,California Institute of Technology,34.1370138,-118.1252882,2
74,Museum National d'Histoire Naturelle,48.6956351,2.4935254,16
75,Indianapolis Zoo,39.7669212,-86.1799659,1
76,Busch Gardens Tampa Bay,28.043573,-82.416218,1
77,Aquarium & Rainforest at Moody Gardens,29.27329,-94.85214,1
78,"Parc Ivoloina, Madagascar Fauna Group",-18.1492,49.40234,2
79,Lee Richardson Zoo,37.9604759,-100.8722773,1
80,Rotterdam Zoo,51.9266946,4.4516482,5
81,William S. Tubman Zoo,5.7499721,-9.3658524,1
82,West of Africa,18.0792379,-15.9780071,3
83,WESTVAMED,-20.3259945,44.5013711,2
84,Department of National Zoological Gardens,6.848,79.9265,5
85,Stewert Salenger Enterprises,40.8009378,-73.4766138,1
86,Zoologischer Garten Frankfurt,50.1156472,8.7019652,1
87,CALSTATE,34.0145426,-118.2534257,1
